
> club-la-victoria@0.1.0 dev
> next dev -H 0.0.0.0

▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env

✓ Starting...
✓ Ready in 1542ms
 GET /socios 200 in 31ms (compile: 3ms, render: 29ms)
 GET /socios/172/cuenta-corriente 200 in 60ms (compile: 11ms, render: 49ms)
 GET /login 200 in 38ms (compile: 3ms, render: 36ms)
 GET /login 200 in 37ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 25ms (compile: 3ms, render: 22ms)
 GET /socios/172/cuenta-corriente 200 in 54ms (compile: 13ms, render: 40ms)
 GET /login 200 in 36ms (compile: 2ms, render: 33ms)
 GET /socios 200 in 21ms (compile: 3ms, render: 18ms)
 GET /cobros/morosos 200 in 41ms (compile: 4ms, render: 37ms)
 GET /cobros/morosos 200 in 42ms (compile: 3ms, render: 39ms)
 GET /cobros/morosos 200 in 19ms (compile: 3ms, render: 16ms)
 GET /login 200 in 41ms (compile: 3ms, render: 38ms)
 GET /socios 200 in 21ms (compile: 3ms, render: 18ms)
 GET /cobros/generar 200 in 42ms (compile: 3ms, render: 39ms)
 GET /login 200 in 37ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /cobros/pagos 200 in 56ms (compile: 3ms, render: 53ms)
 GET /login 200 in 37ms (compile: 2ms, render: 35ms)
 GET /socios 200 in 22ms (compile: 3ms, render: 19ms)
 GET /socios/crear 200 in 39ms (compile: 3ms, render: 36ms)
 GET /socios 200 in 17ms (compile: 3ms, render: 15ms)
 GET /login 200 in 36ms (compile: 3ms, render: 33ms)
 GET /login 200 in 40ms (compile: 3ms, render: 37ms)
 GET /socios 200 in 32ms (compile: 4ms, render: 28ms)
 GET /socios/173/cuenta-corriente 200 in 54ms (compile: 12ms, render: 42ms)
 GET /login 200 in 45ms (compile: 3ms, render: 42ms)
 GET /socios 200 in 24ms (compile: 3ms, render: 21ms)
 GET /cobros/categorias 200 in 44ms (compile: 3ms, render: 41ms)
 GET /login 200 in 37ms (compile: 2ms, render: 34ms)
 GET /socios 200 in 23ms (compile: 3ms, render: 20ms)
 GET /socios/crear 200 in 36ms (compile: 3ms, render: 34ms)
 GET /socios 200 in 17ms (compile: 3ms, render: 14ms)
 GET /cobros/generar 200 in 61ms (compile: 3ms, render: 58ms)
 GET /cobros/generar 200 in 54ms (compile: 3ms, render: 51ms)
 GET /cobros/generar 200 in 46ms (compile: 3ms, render: 43ms)
 GET /cobros/generar 200 in 48ms (compile: 3ms, render: 45ms)
 GET /login 200 in 36ms (compile: 2ms, render: 34ms)
 GET /socios 200 in 23ms (compile: 3ms, render: 20ms)
 GET /socios/174/cuenta-corriente 200 in 50ms (compile: 10ms, render: 39ms)
 GET /login 200 in 44ms (compile: 3ms, render: 41ms)
 GET /socios 200 in 24ms (compile: 3ms, render: 21ms)
 GET /socios/crear 200 in 40ms (compile: 3ms, render: 37ms)
 GET /socios 200 in 17ms (compile: 3ms, render: 14ms)
 GET /login 200 in 41ms (compile: 3ms, render: 38ms)
 GET /login 200 in 41ms (compile: 3ms, render: 38ms)
 GET /socios 200 in 38ms (compile: 5ms, render: 33ms)
 GET /cobros/generar 200 in 66ms (compile: 3ms, render: 63ms)
 GET /login 200 in 40ms (compile: 3ms, render: 38ms)
 GET /socios 200 in 21ms (compile: 3ms, render: 18ms)
 GET /cobros/generar 200 in 46ms (compile: 3ms, render: 43ms)
 GET /login 200 in 42ms (compile: 3ms, render: 39ms)
 GET /socios 200 in 22ms (compile: 3ms, render: 19ms)
 GET /cobros/generar 200 in 48ms (compile: 3ms, render: 45ms)
 GET /login 200 in 38ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /cobros/generar 200 in 40ms (compile: 3ms, render: 37ms)
 GET /login 200 in 36ms (compile: 3ms, render: 34ms)
 GET /socios 200 in 19ms (compile: 3ms, render: 16ms)
 GET /cobros/pagos 200 in 45ms (compile: 3ms, render: 42ms)
 GET /login 200 in 40ms (compile: 3ms, render: 37ms)
 GET /login 200 in 40ms (compile: 3ms, render: 36ms)
 GET /socios 200 in 38ms (compile: 4ms, render: 33ms)
 GET /cobros/pagos 200 in 51ms (compile: 6ms, render: 45ms)
 GET /login 200 in 38ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 23ms (compile: 3ms, render: 19ms)
 GET /cobros/pagos 200 in 46ms (compile: 3ms, render: 43ms)
 GET /login 200 in 35ms (compile: 3ms, render: 32ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /cobros/pagos 200 in 39ms (compile: 3ms, render: 36ms)
 GET /login 200 in 40ms (compile: 3ms, render: 37ms)
 GET /socios 200 in 25ms (compile: 3ms, render: 22ms)
 GET /cobros/estado-pagos 200 in 41ms (compile: 5ms, render: 36ms)
 GET /login 200 in 37ms (compile: 3ms, render: 34ms)
 GET /socios 200 in 21ms (compile: 3ms, render: 18ms)
 GET /socios/crear 200 in 45ms (compile: 3ms, render: 42ms)
 GET /socios 200 in 17ms (compile: 3ms, render: 14ms)
 GET /cobros/generar 200 in 47ms (compile: 3ms, render: 44ms)
 GET /cobros/generar 200 in 46ms (compile: 3ms, render: 43ms)
 GET /cobros/generar 200 in 63ms (compile: 3ms, render: 59ms)
 GET /cobros/generar 200 in 46ms (compile: 3ms, render: 42ms)
 GET /cobros/pagos 200 in 84ms (compile: 8ms, render: 76ms)
 GET /login 200 in 40ms (compile: 3ms, render: 37ms)
 GET /login 200 in 36ms (compile: 3ms, render: 33ms)
 GET /socios 200 in 36ms (compile: 3ms, render: 33ms)
 GET /cobros/reportes 200 in 55ms (compile: 9ms, render: 46ms)
 GET /login 200 in 36ms (compile: 3ms, render: 34ms)
 GET /socios 200 in 22ms (compile: 3ms, render: 19ms)
